,Tweet
90,@hydrangeaadoreu ฮยองเป็นไรชอบโซตัส
91,ทำไมพวกนักศึกษาหรือนิสิตที่เรียนคณะโซตัสมันถึงอินหรือคลั่งคณะตัวเองได้ขนาดนั้น แบบมองเห็นประโยชน์จากประเพณีที่สร้างมาเอง ในขณะที่คนอื่นไม่เห็นว่ามีประโยชน์ยังไง ยิ่งบางคนตอนเข้าปี 1 คือเกลียดจะเป็นจะตายเวลาโดนรุ่นพี่โซตัส พอขึ้นปี 2 เท่านั้นแหละ วางอำนาจต่อเลยอีดอก
92,รับน้องโซตัส  ผ่าน @YouTube
93,ใครอยากหัวร้อนให้ฟังนายอามเรื่องโซตัส หัวเดือดปุดๆ พึ่งเห็นว่าอิตัวรุ่นพี่มาตอบงี้ โคตรทุเรศ
94,ตอนโดนโซตัส กลัวมาก แต่เข้าทุกครั้งเพราะอยากได้รุ่น ตอนที่เค้าให้ตักดินแล้วมือสั่นเพราะกลัวมาก ช้อนก็เล็ก พี่ว้ากด่ากุเพราะทำดินหกนิดหน่อย โคตรไร้เหตุผล
95,กุกล้าพูดว่าไม่เคยเอาโซตัส ไม่เคยใช้อำนาจเหี้ยๆ ใส่รุ่นน้อง พวกมึงอะกล้าพูดมั้ยว่าชีวิตนี้ไม่เคยใช้อำนาจกดขี่ใคร ถึงกล้าบอกว่าตัวเองไม่เคยเป็นสลิ่ม
96,งานดาวเดือนจัดทำไมคะ จัดเพื่อนอะไร เพื่อจำกัดความสวย เเบบนี้ถึงจะสวยหรืออะไร ไหนว่ารณรงค์เรื่องนี้เเต่ยังสนับสนุนกับงานอะไรเเบบนี้อยู่ #ดาวเดือน #มอหลังเขาในเชียงใหม่ #โซตัส #เชียงใหม่
97,สมัยเรียนมหาลัยปี 1 จะมีรุ่นพี่คณะมีดักรอหน้าห้องหลังเลิกเรียน เพื่อไปทำกิจกรรมรุ่นบลา ๆ ก็เมินไปตั้งแต่วันแรก เพราะไอ้ของแบบนี้เจอตอนเรียน ประถม-มัธยม (กีฬาสี) ก็น่าเบื่อชิบหายแล้ว โชคดีที่มหาลัยไม่มีระบบโซตัส เพราะถ้ามีกูก็เมินอยู่ดี ถึงเรียนไม่เก่งแบบ 9arm แต่กูเอาตัวรอดได้แน่
98,"คนคลั่งรับน้องโซตัส=สลิ่ม 

ไม่ละเว้น เหี้ยทั้งหมด ต่อให้ตอนนี้มึงบอกว่าไม่เอารปห แต่ถ้าดีเฟ้นโซตัส=สลิ่มแบบไม่ละเว้น

คนทำไม่จำ แต่คนโดนไม่มีวันลืม ทุกวันนี้กุยังเสียใจที่ไม่ได้ส่งพวงหรีดไปให้แม่งตอนวันจบ พวกเหี้ยหัวควย "
99,"พึ่งเห็นว่า มีคนมาเข้าข้าง คุณประธานรุ่นคนนั้น อยากจะบอกว่า ขนาดห่างจากรุ่นคุณมาเกือบสิบปี ความส้นตีนที่พวกคุณสานต่อมามันก็ยังอยู่มีในรุ่นผมให้
ได้ประสบพบเจอแหละครับ อย่ามาอ้างเลยว่ามุมเดียว อย่ามาอ้างเลยว่าสิบปีแล้ว ยังจะเอามาแขวะ ห่วยแตกทั้งมอแหละถ้าพูดถึงโซตัส เฮงซวย"
100,@castby9arm ผมไม่เข้าใจกว่าคือรุ่นพี่บางคนเข้าร่วมม๊อบเรียกร้องประชาธิปไตยและเสรีภาพ กับกลุ่มสามนิ้ว  แต่ถามเรื่องระบบโซตัส ดันเห็นดีเห็นงาม  งงในงงกว่า อีหยังวะ
101,"เริ่มต้นจากดูโซตัส แล้วชอบความกวนของพี่ไบร์ท เลยตามดูผลงาน จนเจอPuppy honeyนั้นแหละค่ะ เจอ #ออฟกัน ตกเต็มๆ ยิ่งดูYTคืนก่อนเรือแล่นยิ่งโดนตกหนักกว่าเดิม หลังจากนั้นก็หลงรักเขา2คนมาจนถึงวันนี้
#เบบี๋5ขวบแล้วจ้า "
